Institute,Course,Branch/Subject,No. of seats,Course Duration (In Months),Examination Pattern,Annual Tuition Fees,Annual Total Fees,Eligibility Criteria,Additional Criteria,SII Institute Link
National Institute of Technology  Andhra Pradesh,Bachelor of Technology (B.Tech),Mechanical Engineering,2,48,semester,USD 4000,USD 5000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 65% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0176#Section2
National Institute of Technology  Durgapur,B.Tech + M.Tech (Integrated),Bio Technology,1,60,semester,USD 3000,USD 4500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0159#Section2
National Institute of Technology  Durgapur,Bachelor of Technology (B.Tech),Biotechnology,3,48,semester,USD 3000,USD 4500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0159#Section2
National Institute of Technology  Durgapur,Bachelor of Technology (B.Tech),Chemical Engineering,3,48,semester,USD 3000,USD 4500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0159#Section2
National Institute of Technology  Durgapur,B.Tech + M.Tech (Integrated),Chemical Engineering,1,60,semester,USD 3000,USD 4500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0159#Section2
National Institute of Technology  Durgapur,Bachelor of Technology (B.Tech),Civil Engineering,3,48,semester,USD 3000,USD 4500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0159#Section2
National Institute of Technology  Durgapur,Bachelor of Technology (B.Tech),Computer Science and Engineering,5,48,semester,USD 3000,USD 4500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0159#Section2
National Institute of Technology  Durgapur,Bachelor of Technology (B.Tech),Electrical Engineering,3,48,semester,USD 3000,USD 4500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0159#Section2
National Institute of Technology  Durgapur,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,3,48,semester,USD 3000,USD 4500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0159#Section2
National Institute of Technology  Durgapur,Bachelor of Technology (B.Tech),Mechanical Engineering,5,48,semester,USD 3000,USD 4500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0159#Section2
National Institute of Technology  Durgapur,Bachelor of Technology (B.Tech),Metallurgical and Materials Engineering,3,48,semester,USD 3000,USD 4500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0159#Section2
National Institute of Technology  Kurukshetra,Bachelor of Technology (B.Tech),Civil Engineering,5,48,semester,USD 8000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0163#Section2
National Institute of Technology  Kurukshetra,Bachelor of Technology (B.Tech),Computer Engineering,5,48,semester,USD 8000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0163#Section2
National Institute of Technology  Kurukshetra,Bachelor of Technology (B.Tech),Electrical Engineering,5,48,semester,USD 8000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0163#Section2
National Institute of Technology  Kurukshetra,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,5,48,semester,USD 8000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0163#Section2
National Institute of Technology  Kurukshetra,Bachelor of Technology (B.Tech),Mechanical Engineering,5,48,semester,USD 8000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0163#Section2
National Institute of Technology  Puducherry,Bachelor of Technology (B.Tech),Civil Engineering,2,48,semester,INR 139950,INR 189950,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score Diploma in Civil Engineering with minimum 60% score )",( GRE with minimum Valid score  Or TOEFL with minimum Valid score  Or IELTS with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0175#Section2
National Institute of Technology  Puducherry,Bachelor of Technology (B.Tech),Computer Science and Engineering,4,48,semester,INR 139950,INR 189950,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score Diploma in Computer science and engineering with minimum 60% score )",( GRE with minimum Valid score  Or TOEFL with minimum Valid score  Or IELTS with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0175#Section2
National Institute of Technology  Puducherry,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,4,48,semester,INR 139950,INR 189950,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score Diploma in Electronics and Electrical with minimum 60% score )",( GRE with minimum Valid score  Or TOEFL with minimum Valid score  Or IELTS with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0175#Section2
National Institute of Technology  Puducherry,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,4,48,semester,INR 139950,INR 189950,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score Diploma in Electronics and Communication with minimum 60% score )",( GRE with minimum Valid score  Or TOEFL with minimum Valid score  Or IELTS with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0175#Section2
National Institute of Technology  Puducherry,Bachelor of Technology (B.Tech),Mechanical Engineering,2,48,semester,INR 139950,INR 189950,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score Diploma in Mechanical Engineering with minimum 60% score )",( GRE with minimum Valid score  Or TOEFL with minimum Valid score  Or IELTS with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0175#Section2
National Institute of Technology (formerly known as Regional Engineering College) Tiruchirappalli,Bachelor of Technology (B.Tech),Chemical Engineering,4,48,semester,USD 8000,USD 10000,( 10+2 in Mathematics with minimum 85% score And 10+2 in Physics with minimum 85% score ),( SAT Level II with minimum 1800 score  Or JEE Main with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0054#Section2
National Institute of Technology (formerly known as Regional Engineering College) Tiruchirappalli,Bachelor of Technology (B.Tech),Civil Engineering,4,48,semester,USD 8000,USD 10000,( 10+2 in Mathematics with minimum 85% score And 10+2 in Physics with minimum 85% score ),( SAT Level II with minimum 1800 score  Or JEE Main with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0054#Section2
National Institute of Technology (formerly known as Regional Engineering College) Tiruchirappalli,Bachelor of Technology (B.Tech),Computer Science and Engineering,2,48,semester,USD 8000,USD 10000,( 10+2 in Mathematics with minimum 85% score And 10+2 in Physics with minimum 85% score ),( SAT Level II with minimum 1800 score  Or JEE Main with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0054#Section2
National Institute of Technology (formerly known as Regional Engineering College) Tiruchirappalli,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,2,48,semester,USD 8000,USD 10000,( 10+2 in Mathematics with minimum 85% score And 10+2 in Physics with minimum 85% score ),( SAT Level II with minimum 1800 score  Or JEE Main with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0054#Section2
National Institute of Technology (formerly known as Regional Engineering College) Tiruchirappalli,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,2,48,semester,USD 8000,USD 10000,( 10+2 in Mathematics with minimum 85% score And 10+2 in Physics with minimum 85% score ),( SAT Level II with minimum 1800 score  Or JEE Main with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0054#Section2
National Institute of Technology (formerly known as Regional Engineering College) Tiruchirappalli,Bachelor of Technology (B.Tech),Instrumentation and Control Engineering,4,48,semester,USD 8000,USD 10000,( 10+2 in Mathematics with minimum 85% score ) And ( PG in Physics with minimum 85% score ),( SAT Level II with minimum 1800 score  Or JEE Main with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0054#Section2
National Institute of Technology (formerly known as Regional Engineering College) Tiruchirappalli,Bachelor of Technology (B.Tech),Mechanical Engineering,2,48,semester,USD 8000,USD 10000,( 10+2 in Mathematics with minimum 85% score And 10+2 in Physics with minimum 85% score ),( SAT Level II with minimum 1800 score  Or JEE Main with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0054#Section2
National Institute of Technology (formerly known as Regional Engineering College) Tiruchirappalli,Bachelor of Technology (B.Tech),Metallurgical and Materials Engineering,4,48,semester,USD 8000,USD 10000,( 10+2 in Mathematics with minimum 85% score And 10+2 in Physics with minimum 85% score ),( SAT Level II with minimum 1800 score  Or JEE Main with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0054#Section2
National Institute of Technology (formerly known as Regional Engineering College) Tiruchirappalli,Bachelor of Technology (B.Tech),Production Engineering,4,48,semester,USD 8000,USD 10000,( 10+2 in Mathematics with minimum 85% score And 10+2 in Physics with minimum 85% score ),( SAT Level II with minimum 1800 score  Or JEE Main with minimum Valid score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0054#Section2
National Institute of Technology Arunachal Pradesh,Bachelor of Technology (B.Tech),Civil Engineering,7,48,semester,USD 8000,USD 8400,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",SAT Level II with minimum 1800 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0294#Section2
National Institute of Technology Arunachal Pradesh,Bachelor of Technology (B.Tech),Computer Science and Engineering,7,48,semester,USD 8000,USD 8400,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",SAT Level II with minimum 1800 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0294#Section2
National Institute of Technology Arunachal Pradesh,Bachelor of Technology (B.Tech),Electrical Engineering,8,48,semester,USD 8000,USD 8400,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",SAT Level II with minimum 1800 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0294#Section2
National Institute of Technology Arunachal Pradesh,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,7,48,semester,USD 8000,USD 8400,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",SAT Level II with minimum 1800 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0294#Section2
National Institute of Technology Arunachal Pradesh,Bachelor of Technology (B.Tech),Mechanical Engineering,7,48,semester,USD 8000,USD 8400,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",SAT Level II with minimum 1800 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0294#Section2
National Institute of Technology Calicut,Bachelor of Technology (B.Tech),Biotechnology,1,48,semester,USD 6000,USD 7677,( 10+2 in Any Subject with minimum 60% score And ( 10+2 in Biology with minimum 60% score  Or  10+2 in Biotechnology with minimum 60% score  Or  10+2 in Chemistry with minimum 60% score And )10+2 in English with minimum 60% score  10+2 in Mathematics with minimum 60% score  10+2 in Physics with minimum 60% score ),SAT Level I with minimum 900 score And ( TOEFL with minimum 60 score  Or IELTS with minimum 6 score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0055#Section2
National Institute of Technology Calicut,Bachelor of Technology (B.Tech),Chemical Engineering,1,48,semester,USD 6000,USD 7677,( 10+2 in Any Subject with minimum 60% score And ( 10+2 in Biology with minimum 60% score  Or  10+2 in Biotechnology with minimum 60% score  Or  10+2 in Chemistry with minimum 60% score And )10+2 in English with minimum 60% score  10+2 in Mathematics with minimum 60% score  10+2 in Physics with minimum 60% score ),SAT Level I with minimum 900 score And ( TOEFL with minimum 60 score  Or IELTS with minimum 6 score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0055#Section2
National Institute of Technology Calicut,Bachelor of Technology (B.Tech),Civil Engineering,2,48,semester,USD 6000,USD 7677,( 10+2 in Any Subject with minimum 60% score And ( 10+2 in Biology with minimum 60% score  Or  10+2 in Biotechnology with minimum 60% score  Or  10+2 in Chemistry with minimum 60% score And )10+2 in English with minimum 60% score  10+2 in Mathematics with minimum 60% score  10+2 in Physics with minimum 60% score ),SAT Level I with minimum 900 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0055#Section2
National Institute of Technology Calicut,Bachelor of Technology (B.Tech),Computer Science and Engineering,5,48,semester,USD 6000,USD 7677,( 10+2 in Any Subject with minimum 60% score And ( 10+2 in Biology with minimum 60% score  Or  10+2 in Biotechnology with minimum 60% score  Or  10+2 in Chemistry with minimum 60% score And )10+2 in English with minimum 60% score  10+2 in Mathematics with minimum 60% score  10+2 in Physics with minimum 60% score ),SAT Level I with minimum 900 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0055#Section2
National Institute of Technology Calicut,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,2,48,semester,USD 6000,USD 7677,( ( 10+2 in Biology with minimum 60% score  Or  10+2 in Biotechnology with minimum 60% score  Or  10+2 in Chemistry with minimum 60% score And )10+2 in Any Subject with minimum 60% score And 10+2 in English with minimum 60% score  10+2 in Mathematics with minimum 60% score  10+2 in Physics with minimum 60% score ),SAT Level I with minimum 900 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0055#Section2
National Institute of Technology Calicut,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,4,48,semester,USD 6000,USD 7677,( 10+2 in Any Subject with minimum 60% score And ( 10+2 in Biology with minimum 60% score  Or  10+2 in Biotechnology with minimum 60% score  Or  10+2 in Chemistry with minimum 60% score And )10+2 in English with minimum 60% score  10+2 in Mathematics with minimum 60% score  10+2 in Physics with minimum 60% score ),SAT Level I with minimum 900 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0055#Section2
National Institute of Technology Calicut,Bachelor of Technology (B.Tech),Engineering Physics,1,48,semester,USD 6000,USD 7677,( 10+2 in Any Subject with minimum 60% score And ( 10+2 in Biology with minimum 60% score  Or  10+2 in Biotechnology with minimum 60% score  Or  10+2 in Chemistry with minimum 60% score And )10+2 in English with minimum 60% score  10+2 in Mathematics with minimum 60% score  10+2 in Physics with minimum 60% score ),SAT Level I with minimum 900 score And ( TOEFL with minimum 60 score  Or IELTS with minimum 6 score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0055#Section2
National Institute of Technology Calicut,Bachelor of Technology (B.Tech),Materials Science Engineering,1,48,semester,USD 6000,USD 7677,( 10+2 in Any Subject with minimum 60% score And ( 10+2 in Biology with minimum 60% score  Or  10+2 in Biotechnology with minimum 60% score  Or  10+2 in Chemistry with minimum 60% score And )10+2 in English with minimum 60% score  10+2 in Mathematics with minimum 60% score  10+2 in Physics with minimum 60% score ),SAT Level I with minimum 900 score And ( TOEFL with minimum 60 score  Or IELTS with minimum 6 score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0055#Section2
National Institute of Technology Calicut,Bachelor of Technology (B.Tech),Mechanical Engineering,2,48,semester,USD 6000,USD 7677,( 10+2 in Any Subject with minimum 60% score And ( 10+2 in Biology with minimum 60% score  Or  10+2 in Biotechnology with minimum 60% score  Or  10+2 in Chemistry with minimum 60% score And )10+2 in English with minimum 60% score  10+2 in Mathematics with minimum 60% score  10+2 in Physics with minimum 60% score ),SAT Level I with minimum 900 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0055#Section2
National Institute of Technology Calicut,Bachelor of Technology (B.Tech),Production Engineering,1,48,semester,USD 6000,USD 7677,( 10+2 in Any Subject with minimum 60% score And ( 10+2 in Biology with minimum 60% score  Or  10+2 in Biotechnology with minimum 60% score  Or  10+2 in Chemistry with minimum 60% score And )10+2 in English with minimum 60% score  10+2 in Mathematics with minimum 60% score  10+2 in Physics with minimum 60% score ),SAT Level I with minimum 900 score And ( TOEFL with minimum 60 score  Or IELTS with minimum 6 score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0055#Section2
"National Institute of Technology Karnataka, Surathkal",Bachelor of Technology (B.Tech),Metallurgical and Materials Engineering,1,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0285#Section2
"National Institute of Technology Karnataka, Surathkal",Bachelor of Technology (B.Tech),Mining Engineering,2,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0285#Section2
National Institute of Technology Meghalaya,Bachelor of Technology (B.Tech),Civil Engineering,5,48,semester,USD 8000,USD 9600,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0056#Section2
National Institute of Technology Meghalaya,Bachelor of Technology (B.Tech),Computer Science and Engineering,5,48,semester,USD 8000,USD 9600,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0056#Section2
National Institute of Technology Meghalaya,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,5,48,semester,USD 8000,USD 9600,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0056#Section2
National Institute of Technology Meghalaya,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,5,48,semester,USD 8000,USD 9600,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0056#Section2
National Institute of Technology Meghalaya,Bachelor of Technology (B.Tech),Mechanical Engineering,5,48,semester,USD 8000,USD 9600,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0056#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Biomedical Engineering (BME),6,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Biology (PCB) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Biotechnology,6,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Chemical Engineering,10,48,semester,USD 4000,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Civil Engineering,12,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Computer Science and Engineering,19,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Electrical Engineering,19,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,10,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Electronics and Instrumentation Engineering,9,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Food Engineering and Technology,6,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Industrial Engineering,6,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Mechanical Engineering,19,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Metallurgical and Materials Engineering,10,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Rourkela Odisha,Bachelor of Technology (B.Tech),Mining Engineering,7,48,semester,USD 8000,USD 9500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0177#Section2
National Institute of Technology Silchar,Bachelor of Technology (B.Tech),Civil Engineering,8,48,semester,USD 6000,USD 7000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0057#Section2
National Institute of Technology Silchar,Bachelor of Technology (B.Tech),Computer Science and Engineering,8,48,semester,USD 6000,USD 7000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0057#Section2
National Institute of Technology Silchar,Bachelor of Technology (B.Tech),Electrical Engineering,8,48,semester,USD 6000,USD 7000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0057#Section2
National Institute of Technology Silchar,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,8,48,semester,USD 6000,USD 7000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0057#Section2
National Institute of Technology Silchar,Bachelor of Technology (B.Tech),Electronics and Instrumentation Engineering,4,48,semester,USD 6000,USD 7000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0057#Section2
National Institute of Technology Silchar,Bachelor of Technology (B.Tech),Mechanical Engineering,8,48,semester,USD 6000,USD 7000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0057#Section2
National Institute of Technology Warangal,Bachelor of Technology (B.Tech),Biotechnology,5,48,semester,USD 8000,USD 9430,( 10+2 in Biology with minimum 60% score Or 10+2 in Biotechnology with minimum 60% score Or 10+2 in Chemistry with minimum 60% score Or 10+2 in Computer Science with minimum 60% score Or 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0178#Section2
National Institute of Technology Warangal,Bachelor of Technology (B.Tech),Chemical Engineering,10,48,semester,USD 8000,USD 9430,( 10+2 in Biology with minimum 60% score Or 10+2 in Biotechnology with minimum 60% score Or 10+2 in Chemistry with minimum 60% score Or 10+2 in Computer Science with minimum 60% score Or 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0178#Section2
National Institute of Technology Warangal,Bachelor of Technology (B.Tech),Civil Engineering,10,48,semester,USD 8000,USD 9430,( 10+2 in Biology with minimum 60% score Or 10+2 in Biotechnology with minimum 60% score Or 10+2 in Chemistry with minimum 60% score Or 10+2 in Computer Science with minimum 60% score Or 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0178#Section2
National Institute of Technology Warangal,Bachelor of Technology (B.Tech),Computer Science and Engineering,16,48,semester,USD 8000,USD 9430,( 10+2 in Biology with minimum 60% score Or 10+2 in Biotechnology with minimum 60% score Or 10+2 in Chemistry with minimum 60% score Or 10+2 in Computer Science with minimum 60% score Or 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0178#Section2
National Institute of Technology Warangal,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,10,48,semester,USD 8000,USD 9430,( 10+2 in Biology with minimum 60% score Or 10+2 in Biotechnology with minimum 60% score Or 10+2 in Chemistry with minimum 60% score Or 10+2 in Computer Science with minimum 60% score Or 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0178#Section2
National Institute of Technology Warangal,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,14,48,semester,USD 8000,USD 9430,( 10+2 in Biology with minimum 60% score Or 10+2 in Biotechnology with minimum 60% score Or 10+2 in Chemistry with minimum 60% score Or 10+2 in Computer Science with minimum 60% score Or 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0178#Section2
National Institute of Technology Warangal,Bachelor of Technology (B.Tech),Mechanical Engineering,10,48,semester,USD 8000,USD 9430,( 10+2 in Biology with minimum 60% score Or 10+2 in Biotechnology with minimum 60% score Or 10+2 in Chemistry with minimum 60% score Or 10+2 in Computer Science with minimum 60% score Or 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0178#Section2
National Institute of Technology Warangal,Bachelor of Technology (B.Tech),Metallurgical and Materials Engineering,5,48,semester,USD 8000,USD 9430,( 10+2 in Biology with minimum 60% score Or 10+2 in Biotechnology with minimum 60% score Or 10+2 in Chemistry with minimum 60% score Or 10+2 in Computer Science with minimum 60% score Or 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Main with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0178#Section2
